상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA0101202502A0046075,체스터톤스에이치앤알경주,,I1,숙박,I101,일반 숙박,I10101,호텔/리조트,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1067-4,경상북도 경주시 광중길 11,129.224389078774,35.8793896452749
MA0101202502A0055355,강다짐경주,황성점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 508-1,경상북도 경주시 황성로27번길 10,129.213669590294,35.8661802837688
MA0101202502A0059842,예쁨분식,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 521-77,경상북도 경주시 황성로1번길 23-4,129.21343277682,35.8656260034765
MA0101202502A0078224,미래환경보전협회,,P1,교육,P107,교육 지원,P10701,교육컨설팅업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 267-9,경상북도 경주시 원지길14번길 24,129.21923474561,35.8664740199929
MA0101202502A0078896,참깨파족제주파족,,I2,음식,I201,한식,I20101,백반/한정식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 521-77,경상북도 경주시 황성로1번길 23-4,129.21343277682,35.8656260034765
MA0101202502A0082874,일호테크,,N1,시설관리·임대,N104,고용 알선,N10402,임시/일용 인력 공급업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 510-7,경상북도 경주시 용담로92번길 42-6,129.214570466886,35.867127786877
MA0101202502A0083202,데코하우스LX지인인테리어,,M1,과학·기술,M112,전문 디자인,M11201,인테리어 디자인업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 466-2,경상북도 경주시 용담로 66-6,129.214686209362,35.8633322686198
MA0101202502A0090085,다온스크린골프,,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 146-4,경상북도 경주시 갓뒤동녘길 21,129.219237406284,35.87053766098
MA0101202502A0090577,신해인펫아카데미학원,,P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 444-11,경상북도 경주시 용담로92번길 8,129.212070304207,35.8643986617282
MA0101202502A0091791,가호방겔마미라클경주,황성점,G2,소매,G209,섬유·의복·신발 소매,G20907,액세서리/잡화 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 202,경상북도 경주시 갓뒤길3번길 20-9,129.217446400045,35.8718141843339
MA0101202502A0095846,아트크레오경주용황클래스미술교습소,,P1,교육,P106,기타 교육,P10611,미술학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 251-21,경상북도 경주시 원지길30번길 16,129.220993413541,35.8664234839456
MA0101202502A0112200,펫그램,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 472-57,경상북도 경주시 황성로27번길 4,129.21428040029,35.8658536576363
MA0101202502A0112608,빵집오빠경주,본점,G2,소매,G204,종합 소매,G20404,슈퍼마켓,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 441-4,경상북도 경주시 용담로 88,129.212104543932,35.8640376142446
MA0101202502A0114727,신라산부인과의원,,Q1,보건의료,Q102,의원,Q10207,산부인과 의원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1053-2,경상북도 경주시 원화로 393,129.218692261345,35.8557526462908
MA0101202502A0117209,디디알펫,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1175,경상북도 경주시 현진앞3길 52,129.219265326852,35.8826471078681
MA0101202503A0007936,대득공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 255-3,경상북도 경주시 원지길 20,129.220330309361,35.868048608233
