상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA010120220804679513,영월춘천닭갈비,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 902-5,강원특별자치도 영월군 영월읍 중앙로 88-1,128.473611416497,37.1833034469415
MA010120220804679518,파리바게뜨영월,행복점,I2,음식,I210,기타 간이,I21001,빵/도넛,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 373-1,강원특별자치도 영월군 영월읍 하송로 126,128.45819538428,37.1786019178031
MA010120220804679547,뚜레쥬르,하송점,I2,음식,I210,기타 간이,I21001,빵/도넛,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 386-4,강원특별자치도 영월군 영월읍 하송로 115,128.45956582712,37.1790175094546
MA010120220804679557,동강나루래프팅,,R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 230,강원특별자치도 영월군 영월읍 섭새길 71-5,128.512628820022,37.2323737731502
MA010120220804679653,민카츠,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 959-29,강원특별자치도 영월군 영월읍 단종로15번길 4,128.468026876016,37.1850846356108
MA010120220804679665,지중해,,I2,음식,I211,주점,I21102,무도 유흥 주점,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 948-8,강원특별자치도 영월군 영월읍 단종로9번길 9,128.467681736321,37.1841248702983
MA010120220804679710,쵸이스패션,,S2,수리·개인,S206,기타 가정용품 수리,S20601,의류/이불 수선업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 1049-16,강원특별자치도 영월군 영월읍 단종로 88,128.464689934206,37.1907209892609
MA010120220804679712,가나닭집,,I2,음식,I210,기타 간이,I21006,치킨,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 5-10,강원특별자치도 영월군 영월읍 서부시장길 8-1,128.466307264607,37.1829255765023
MA010120220804679729,월강산하촌,,I1,숙박,I101,일반 숙박,I10103,펜션,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 1612-15,강원특별자치도 영월군 영월읍 동강로 245-3,128.505801599805,37.2018279850714
MA010120220804679766,이수민헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 823-5,강원특별자치도 영월군 영월읍 봉래산로 32,128.472178715178,37.1860692293868
MA010120220804679777,명성라벤더,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 979-5,강원특별자치도 영월군 영월읍 중앙로 57,128.470070431926,37.1836177348911
MA010120220804679779,행운식당,,I2,음식,I201,한식,I20105,국수/칼국수,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 500-4,강원특별자치도 영월군 영월읍 영월로 2097-1,128.479626450694,37.1822464086437
MA010120220804679813,뽕의전설,,I2,음식,I202,중식,I20201,중국집,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 16-8,강원특별자치도 영월군 영월읍 하송안길 70,128.466859983764,37.1818105353179
MA010120220804679821,원헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 943-5,강원특별자치도 영월군 영월읍 하송안길 116,128.469081396969,37.1831344688738
