시도,광역지자체,지표 중분류,지표 소분류,기준년월,지표값
강원특별자치도,영월군,여행거리,강원특별자치도,202507,86.05
강원특별자치도,영월군,여행거리,경기도,202507,74.25
강원특별자치도,영월군,여행거리,경상남도,202507,63.03
강원특별자치도,영월군,여행거리,경상북도,202507,66.82
강원특별자치도,영월군,여행거리,광주광역시,202507,63.0
강원특별자치도,영월군,여행거리,대구광역시,202507,67.24
강원특별자치도,영월군,여행거리,대전광역시,202507,67.3
강원특별자치도,영월군,여행거리,부산광역시,202507,64.21
강원특별자치도,영월군,여행거리,서울특별시,202507,69.64
강원특별자치도,영월군,여행거리,세종특별자치시,202507,68.72
강원특별자치도,영월군,여행거리,울산광역시,202507,68.71
강원특별자치도,영월군,여행거리,인천광역시,202507,75.04
강원특별자치도,영월군,여행거리,전라남도,202507,63.6
강원특별자치도,영월군,여행거리,전북특별자치도,202507,64.41
강원특별자치도,영월군,여행거리,제주특별자치도,202507,64.86
강원특별자치도,영월군,여행거리,충청남도,202507,70.24
강원특별자치도,영월군,여행거리,충청북도,202507,77.2
강원특별자치도,영월군,관광서비스수요,레포츠여행유형 SNS언급량,202508,122.5
강원특별자치도,영월군,관광서비스수요,휴식힐링여행유형 SNS언급량,202508,83.63
강원특별자치도,영월군,관광서비스수요,미식여행유형 SNS언급량,202508,65.95
강원특별자치도,영월군,관광서비스수요,체험여행유형 SNS언급량,202508,73.45
강원특별자치도,영월군,관광서비스수요,쇼핑업 소비액,202508,59.84
강원특별자치도,영월군,관광서비스수요,식음료 소비액,202508,61.88
강원특별자치도,영월군,관광서비스수요,숙박업 소비액,202508,66.73
강원특별자치도,영월군,관광서비스수요,여가서비스업 소비액,202508,61.04
강원특별자치도,영월군,관광서비스수요,운송업 소비액,202508,65.96
강원특별자치도,영월군,관광서비스수요,내비게이션 숙박유형 검색량,202508,84.12
강원특별자치도,영월군,관광서비스수요,내비게이션 음식유형 검색량,202508,65.52
강원특별자치도,영월군,관광서비스수요,내비게이션 쇼핑유형 검색량,202508,66.37
강원특별자치도,영월군,문화자연자원 수요,내비게이션 문화관광유형 검색량,202508,69.2
강원특별자치도,영월군,문화자연자원 수요,내비게이션 레저스포츠유형 검색량,202508,69.2
강원특별자치도,영월군,문화자연자원 수요,내비게이션 역사관광 유형 검색량,202508,80.29
강원특별자치도,영월군,문화자연자원 수요,내비게이션 체험관광 유형 검색량,202508,67.2
강원특별자치도,영월군,문화자연자원 수요,내비게이션 자연관광 유형 검색량,202508,73.25
강원특별자치도,영월군,관광체류강도,타권역 방문자 비중,202508,95.08
강원특별자치도,영월군,관광체류강도,숙박 비중,202508,96.68
강원특별자치도,영월군,관광체류강도,1박 방문자수,202508,67.88
강원특별자치도,영월군,관광체류강도,2박 방문자수,202508,84.68
강원특별자치도,영월군,관광체류강도,3박 방문자수,202508,65.82
강원특별자치도,영월군,관광소비강도,외지인 소비액,202508,64.81
강원특별자치도,영월군,관광소비강도,전체 대비 외지인소비액 비중,202508,81.87
강원특별자치도,영월군,관광소비강도,방문량대비방문 소비액,202508,72.23
강원특별자치도,영월군,관광객 다양성,10대 방문객수,202508,59.6
강원특별자치도,영월군,관광객 다양성,20대 방문객수,202508,58.43
강원특별자치도,영월군,관광객 다양성,30대 방문객수,202508,60.65
강원특별자치도,영월군,관광객 다양성,40대 방문객수,202508,60.08
강원특별자치도,영월군,관광객 다양성,50대 방문객수,202508,58.75
강원특별자치도,영월군,관광객 다양성,60대 방문객수,202508,61.77
강원특별자치도,영월군,관광객 다양성,70대 방문객수,202508,61.77
강원특별자치도,영월군,관광소비 다양성,10대 소비액,202508,66.42
강원특별자치도,영월군,관광소비 다양성,20대 소비액,202508,65.4
강원특별자치도,영월군,관광소비 다양성,30대 소비액,202508,64.97
강원특별자치도,영월군,관광소비 다양성,40대 소비액,202508,64.06
강원특별자치도,영월군,관광소비 다양성,50대 소비액,202508,64.23
강원특별자치도,영월군,관광소비 다양성,60대 소비액,202508,65.12
강원특별자치도,영월군,관광소비 다양성,70대 소비액,202508,65.11
강원특별자치도,영월군,국제적 다양성,외국인 소비액,202508,69.71
강원특별자치도,영월군,국제적 다양성,외국인 방문자수,202508,68.63
강원특별자치도,영월군,국제적 다양성,외국인 방문객 국적 다양성,202508,71.74
강원특별자치도,영월군,여행거리,강원특별자치도,202508,85.63
강원특별자치도,영월군,여행거리,경기도,202508,78.96
강원특별자치도,영월군,여행거리,경상남도,202508,64.61
강원특별자치도,영월군,여행거리,경상북도,202508,68.56
강원특별자치도,영월군,여행거리,광주광역시,202508,63.05
강원특별자치도,영월군,여행거리,대구광역시,202508,69.06
강원특별자치도,영월군,여행거리,대전광역시,202508,68.51
강원특별자치도,영월군,여행거리,부산광역시,202508,65.99
강원특별자치도,영월군,여행거리,서울특별시,202508,72.53
강원특별자치도,영월군,여행거리,세종특별자치시,202508,70.38
강원특별자치도,영월군,여행거리,울산광역시,202508,70.28
강원특별자치도,영월군,여행거리,인천광역시,202508,81.55
강원특별자치도,영월군,여행거리,전라남도,202508,64.02
강원특별자치도,영월군,여행거리,전북특별자치도,202508,64.9
강원특별자치도,영월군,여행거리,제주특별자치도,202508,64.16
강원특별자치도,영월군,여행거리,충청남도,202508,72.32
강원특별자치도,영월군,여행거리,충청북도,202508,79.98
